Account,Token Account,Quantity,AIRDROP
GypeM9BqKeKGJGTnPxTf1PdVa3UC2LkiYnvvW8CJSNj2,5CQuapmsq7bUuL64HfMigafHAsR9uynUjnktSXLmNJFY,50000000,500000000
ABHVsoEg22fo69mxu12VAEseVdpfRR9uW9jyVoZ9v1di,GbJxuFjYBq7R677dPGD2LeB4RHV995sHHmuBP3oxZ7w9,361598378.9,3615983789
A7YWD2fHaeGKQhshWyWW7pwyb6f7L6PMg5ZgVF4N9fLY,5PBLnAdqnSQCtKVk8dQnrrMRS9PyAX7zhKtrvGRzssud,100000000,1000000000
3jhmLJ5VgkeYAmzxzzzTND66PZrKL2RScHYr2StgkwBh,HedzNftu9r9rhqGqSYZj9Qisrt7UbQ81GKfb3SWzmnve,"40,980,258.75",409802587.5
JQCdzkb9w6DEhG1jPqf1AVDLdGwRmyugMnxNxzBgNVk,DKSFYBz4imWhYiWnXXKrmJNkmYrkPK9wkKFinYrrX8VS,24151429.18,241514291.8
AacnZiHmaWHaKu2WQphrMTLsT2GLrWa4jKQ13k8Ppsvo,7PhLwRYhu62wR8pDpFGeCjEDJ5r924rPqKhV6es13KaX,20971778.58,209717785.8
9hhkUsh9vkRhQXfWHkmV4Jn25wnBPDtJs8U5rAZvnXCA,5TQTx7syHuRE5ogyS1aUiwaYSWLCZFWMc7oP1HhWGbmr,20424981.65,204249816.5
5gxzx86DD2pzsrso5NWRsJKqU2sjF9annpHFtCxF5wPE,69JbyeXmGs5v96chesqCcKPex9fka597FR8WphoimeDy,19722471.02,197224710.2
3RgdsTJgxtBvjAxNc48gyPbVXDNiniRRFgvTX6Axnaev,6wzepRzUa3k6BbsHD7uCSKzpFTovyLHv4MM49GrFvZii,13728219.32,137282193.2
JDDrf3zWjwz4kfMDAZziRomQMhn7Bt9biG8Gz7uasVrU,61iamaJ9p2nWDEcfPb29xHXkZhP5AdkuLuXGA4JDauau,13629961,136299610
3RonnycCxE4g5QNRNSkkeNwTY8hu6gAFNAUCjtrHiLy2,2DRUShLUv5xQEiPZ5u6JSx3bTUV886ZVKFxtjxyv8KDp,15000000,150000000
AeFXgPLkuWrWgMMjWxMwDW5MjcwEYzADhQgxLvXDZXar,GNmxN4gDsX27pRuSewR9U1EitBtmRLyh8xuEdic5ffEK,10928712.22,109287122.2
GGtZvJpDjz2k2Ld9FQzAyGvbBHcZanhGRbMhsDs163Sh,AWZULMWiVpY9LEhZzCZ74RzH2ouxTwcZMdBFHs2nvDcm,10788361.41,107883614.1
BXsP5sLhwCkPB5EJyGsacZCpmt4XRT9QcZGcME6NbgGp,7JxBHvC45daL4DjgEdpnxaZSUNonmbzJGuz9uAPLcjWZ,10226183.57,102261835.7
Fj6cFYanakSvACJ133JKngB77Po8Jasqur9eAdg6QE2n,F8KbjYZJntQhTaFk7TDq3NuB7BrqUMdNp1Gher8eQWx9,9297058.58,92970585.8
G3g33UKCbqgDT9qWoTYaASK8agNSRuVu13k3a19LYLS9,6hjWzZJKdGd5aEpsTemvpCSttr1Kg4mt5RqWnyGYhASk,9230769.23,92307692.3
GMvp7tuAmRFk6gTfTjsSYVCchaJ4HUSsAG7a3KWKtVp1,A82z4B1xXegkPWEhgjBC3uPG27Z4UtMKwMieq47LLdD7,20000000,200000000
A7zvWqsyiQcWZAU4KHf9xJQvaRMudr16tBFzNoNMnp4S,HZM72CKxk9u7fAbKkWThzLbjS9oTAGzaACrWAtgQPfoB,8817393.76,88173937.6
AnY7kQsUaz256D2SpuK7tSM77dpEhtd54qvMi1PZcHc6,3B3Jp16N5wKGdoeri1kiKyDZcDNvKCRUZECriQ2kQsbC,8088429.53,80884295.3
AZWMzm3iQYYa5E7iNt2DRsPh3ni7DNHWNfLVwTfVWsYw,Bh2822Jg1qcAHoT5X7Ktw89WzVrXLLaHX9Bg66gGKAUo,25000000,250000000
2fhYFZK5sk9fXPMdCh2HxRGX71gPySxQH6NW4jE3D8gc,6A7fc99hMap3p5eQYxdfM7CksVVwDRkEqWLwYQVQdJRk,6897063.32,68970633.2
Fo4chmEucV7ZjrxRVJhfZYvuUQTZKu1ZiiWiK8JpDuqx,BmseZnSkAa4xyVxeU5gEFwFdrA1gnL6D3mfXq3HvgAaQ,6099820.43,60998204.3
EBFBigFZ86zXWurHH59wx9MmUQBU4Bkz2C4gHQ4XRLPF,6K8STXMmCXGrsdmmA65SfE7vNunA33ZcWmbSXjUdbHBL,5727124.47,57271244.7
Doa4uQqpWuWgWmha2C6rgdJML3iFbALcGnDd3LweRTZV,4geexnffbC77yj5itHQUTQdiTqirRs1SaoTKVnVj7NgP,5527274.73,55272747.3
2js7Do9mrsjgUF7ji4DAxMyX6L6CCnB7KEoF5TvAWZzS,YfwAMLpnKAL57cwkBX7JDFyLK7cxwudVBTVFc4UdUCV,5086232.81,50862328.1
EPbZ4VPKYKppA6DantyKg3XoHuD8gLbSob4EZ6k8fi2q,8wRDRhFNegf2wTAJHq6D8kBaiAZVRMJig8Fyu9FGHy9n,4765273.98,47652739.8
12Y7qdTfWtCC7t87V6MjhTHCuT5CEpBwkY5WF5Je2qep,EH6wRiQmB21ysMX7JRge2udkqxaDadgGCE4VC7iJAY8c,4748147.37,47481473.7
EcGyqbVGsYV2rGQkicZh8PAcJMDPXgUsbvpEEZ7WstgS,BocCKbz11a5GZJp8gXKjjtEfDTtWhmBHcLLFz4chXY2S,4720192.31,47201923.1
4WbywyQAb4N1PH83dYB8sZAejpEsCwXQUp7pmvukfQHM,Fque9zjdNY3AsiHke7GrwiToVD5Xoz3Ztxeas2qZWi79,4689977.71,46899777.1
6VKBAGRAaujStf8FYSdpYxSp3oB7XyMEYRfpDzUQfNPU,3YMj2q8nLsxSG8TNhFH4fe1oUfW6pdPqdbLUSDkKYgCQ,4374243.84,43742438.4
5TCZW9BEiHCt2VAuh2vgKjEHRGEpGbgutcyM6i34PSXf,9zBUC6qprNU3eg2cHxj4NW6bnPA1YYsTJRYSS9mWgKzH,4311961.73,43119617.3
GeG993YQZGZ39UsQ4saRRDWMHjYLZAkW57hhoeSwuhio,ALsKb7qSyWYDqgLcmEu5dAWKCkparTEvw4CMkMHWEFmt,3748677,37486770
6F5U8yLCA5MhMVnf5SwLhKZ9jet1JXarwEHu349db3EX,A4rRF8dpcUnG8bb5xfoJkKvuitBcN2o2Ri9U1fuFL4St,3732346.25,37323462.5
6TNth6PPviLL4jkXhe2M7qvyMTmQLWPY8gTRxVxKwCz7,9Dvjy3HFcVyDSaytHmRSqTKBeqo9GoHzbDuAp55CK7zJ,3687879.6,36878796
4eFQzAhq69Xnw14gRUZHvmrCGunkkTyj27dbofc6eqD6,HCGzTV81zr3QGq4k7vDHmyeoanxEMmzJmKxtiiufaeFp,3645842.29,36458422.9
5gS14Pm8ACJvnutYZg6D1PEK9G3Nw8E6NtRXwY2aiGeo,96Bwtu9kAeG7YbivCHCfR5PL9Utiv7bL4EUN8BSdNhcE,3619691.04,36196910.4
6DJLqoW23mJ8ayL6MD4ThdSEM7R6DWaScsyVABu85DmL,3BgeBywkroPyxiNYzsUxqgiy1oQAuoNTRiTHCH6jZKCu,3442626.63,34426266.3
EF87curTeNN7DKR55L8xENpm5Cqr5q4aaEtUmWNJQiJU,GLso99JMe2xvcvuHSeR5TVXzC9cdBFMc9DyN8JamUq52,3383668.55,33836685.5
2hhCNF5PPNvRjAN6VcKmeAm5hzdsgstrmRheqwZy96e6,3amPjXUPW44jikkE8whBd3b76gmWQj61X8r7N8VRi9NH,3361280.22,33612802.2
