Account,Token Account,Quantity,Percentage
GypeM9BqKeKGJGTnPxTf1PdVa3UC2LkiYnvvW8CJSNj2,5CQuapmsq7bUuL64HfMigafHAsR9uynUjnktSXLmNJFY,255629168.12,25.56
FwMndGLFMHXXXSPAvditPtY8zpT9G4mKQoijnQ1zcour,FwMndGLFMHXXXSPAvditPtY8zpT9G4mKQoijnQ1zcour,96575151.98,9.66
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,qThQMxE46q1B2mYsJdJupExqGiokMDQeMRYHap4nGxP,67836077.17,6.78
3jhmLJ5VgkeYAmzxzzzTND66PZrKL2RScHYr2StgkwBh,HedzNftu9r9rhqGqSYZj9Qisrt7UbQ81GKfb3SWzmnve,40980258.76,4.10
ABHVsoEg22fo69mxu12VAEseVdpfRR9uW9jyVoZ9v1di,GbJxuFjYBq7R677dPGD2LeB4RHV995sHHmuBP3oxZ7w9,34937935.40,3.49
JQCdzkb9w6DEhG1jPqf1AVDLdGwRmyugMnxNxzBgNVk,DKSFYBz4imWhYiWnXXKrmJNkmYrkPK9wkKFinYrrX8VS,28617866.29,2.86
5gxzx86DD2pzsrso5NWRsJKqU2sjF9annpHFtCxF5wPE,69JbyeXmGs5v96chesqCcKPex9fka597FR8WphoimeDy,22485085.92,2.25
AacnZiHmaWHaKu2WQphrMTLsT2GLrWa4jKQ13k8Ppsvo,7PhLwRYhu62wR8pDpFGeCjEDJ5r924rPqKhV6es13KaX,20971778.58,2.10
9hhkUsh9vkRhQXfWHkmV4Jn25wnBPDtJs8U5rAZvnXCA,5TQTx7syHuRE5ogyS1aUiwaYSWLCZFWMc7oP1HhWGbmr,20424981.65,2.04
GMvp7tuAmRFk6gTfTjsSYVCchaJ4HUSsAG7a3KWKtVp1,A82z4B1xXegkPWEhgjBC3uPG27Z4UtMKwMieq47LLdD7,17582417.58,1.76
94FssGDcepigqPjjECtxFJYWLJSttPZyt4x4FnonvWSq,BLsLKqJ5ADdpZ1VXUofYBBpmq62M7j4Rsb6bQde5QPhM,17046622.04,1.70
67VAEyDnY2S7YDiP2pew9tWmipYRB4B5G2yg4YP4pNsB,67VAEyDnY2S7YDiP2pew9tWmipYRB4B5G2yg4YP4pNsB,13955035.71,1.40
3RgdsTJgxtBvjAxNc48gyPbVXDNiniRRFgvTX6Axnaev,6wzepRzUa3k6BbsHD7uCSKzpFTovyLHv4MM49GrFvZii,13728219.32,1.37
JDDrf3zWjwz4kfMDAZziRomQMhn7Bt9biG8Gz7uasVrU,61iamaJ9p2nWDEcfPb29xHXkZhP5AdkuLuXGA4JDauau,13629961.00,1.36
3RonnycCxE4g5QNRNSkkeNwTY8hu6gAFNAUCjtrHiLy2,2DRUShLUv5xQEiPZ5u6JSx3bTUV886ZVKFxtjxyv8KDp,13337510.98,1.33
AZWMzm3iQYYa5E7iNt2DRsPh3ni7DNHWNfLVwTfVWsYw,Bh2822Jg1qcAHoT5X7Ktw89WzVrXLLaHX9Bg66gGKAUo,11071428.57,1.11
GGtZvJpDjz2k2Ld9FQzAyGvbBHcZanhGRbMhsDs163Sh,AWZULMWiVpY9LEhZzCZ74RzH2ouxTwcZMdBFHs2nvDcm,10800993.26,1.08
77aXHY29GYN922nH8NwZnbUQFCmWC7SJStPb9Wo2Bjae,FPjeTzfA8ZbDFwkwGjYy51gJATdM52vWw4yXo7dVy3DT,9582372.48,0.96
Fj6cFYanakSvACJ133JKngB77Po8Jasqur9eAdg6QE2n,F8KbjYZJntQhTaFk7TDq3NuB7BrqUMdNp1Gher8eQWx9,9297058.58,0.93
G3g33UKCbqgDT9qWoTYaASK8agNSRuVu13k3a19LYLS9,6hjWzZJKdGd5aEpsTemvpCSttr1Kg4mt5RqWnyGYhASk,9230769.23,0.92
A7zvWqsyiQcWZAU4KHf9xJQvaRMudr16tBFzNoNMnp4S,HZM72CKxk9u7fAbKkWThzLbjS9oTAGzaACrWAtgQPfoB,8817393.76,0.88
2fhYFZK5sk9fXPMdCh2HxRGX71gPySxQH6NW4jE3D8gc,6A7fc99hMap3p5eQYxdfM7CksVVwDRkEqWLwYQVQdJRk,8617728.25,0.86
AnY7kQsUaz256D2SpuK7tSM77dpEhtd54qvMi1PZcHc6,3B3Jp16N5wKGdoeri1kiKyDZcDNvKCRUZECriQ2kQsbC,8088429.53,0.81
kPxWMEaBe1sUzyiAAEFgM6hF7Xh6CFDwPTwQ5ryJ1ik,47UYKXfpUTrQg2MgFVJE6NKTJhohowvPT3knvMM1SRb2,7679789.46,0.77
4eFQzAhq69Xnw14gRUZHvmrCGunkkTyj27dbofc6eqD6,HCGzTV81zr3QGq4k7vDHmyeoanxEMmzJmKxtiiufaeFp,6842629.16,0.68
Fo4chmEucV7ZjrxRVJhfZYvuUQTZKu1ZiiWiK8JpDuqx,BmseZnSkAa4xyVxeU5gEFwFdrA1gnL6D3mfXq3HvgAaQ,6099820.43,0.61
EPbZ4VPKYKppA6DantyKg3XoHuD8gLbSob4EZ6k8fi2q,8wRDRhFNegf2wTAJHq6D8kBaiAZVRMJig8Fyu9FGHy9n,5761660.94,0.58
G9SvxD4G4nkRmGY4XvJAGKVUGH3qcgrYmWfrwSxu9gmZ,2GGEse9aH7S93gSUjRLvd5FhQPDY8Jkkbnz7BqNKkVqg,5693121.39,0.57
7QNDrNJLw5phwiXwVB94MoTP4N4jsyB5gteGMKdivrYG,HyMjobVgZYV7JMY5JK7fnuqUXhxxGjutTyFoj3w2t6Ca,5480674.99,0.55
Doa4uQqpWuWgWmha2C6rgdJML3iFbALcGnDd3LweRTZV,4geexnffbC77yj5itHQUTQdiTqirRs1SaoTKVnVj7NgP,5000000.00,0.50
12Y7qdTfWtCC7t87V6MjhTHCuT5CEpBwkY5WF5Je2qep,EH6wRiQmB21ysMX7JRge2udkqxaDadgGCE4VC7iJAY8c,4748147.37,0.47
EcGyqbVGsYV2rGQkicZh8PAcJMDPXgUsbvpEEZ7WstgS,BocCKbz11a5GZJp8gXKjjtEfDTtWhmBHcLLFz4chXY2S,4720192.31,0.47
5pW55imzNAD7oxQfRQu3QwhWcxcLkEQofauMrALHnqXz,H6UgrNfKjKeiuEDtK2eSb5iDvD7AvzdPdyx4m8XYUGQr,4245284.37,0.42
GeG993YQZGZ39UsQ4saRRDWMHjYLZAkW57hhoeSwuhio,ALsKb7qSyWYDqgLcmEu5dAWKCkparTEvw4CMkMHWEFmt,3748677.00,0.37
